Qui était le roi de France pendant la Révolution française et a été exécuté en 1793 ?,Louis XVI,Louis 16,Louis 16e
Quelle reine française a été mariée à Henri II et était la mère de trois rois de France dont Louis XIV ?,Catherine de Médicis,Catherine de Medicis,De Médicis Catherine
Quel empereur français a été exilé sur l'île d'Elbe en 1814 avant de revenir pour les Cent-Jours ?,Napoléon Bonaparte,Napoléon,Napoleon
Quel événement de 1356 a été un tournant majeur de la guerre de Cent Ans et a vu la capture du roi Jean II de France par les Anglais ?,La bataille de Poitiers,Poitiers,bataille de Poitiers
Qui était le président de la République française pendant la guerre d'Algérie (1954-1962) ?,Charles de Gaulle,de Gaulle,Charles de Gaulle
Quelle était la période pendant la Révolution française caractérisée par des exécutions massives ?,La Terreur,Terreur,la Terreur
Qui était le fondateur de la dynastie capétienne et le premier roi de France en 987 ?,Hugues Capet,Capet Hugues,Capet
Quelle bataille de la Première Guerre mondiale en 1916 a été le théâtre de violents combats et de nombreuses pertes pour les troupes françaises ?,La bataille de Verdun,bataille de Verdun,Verdun
Quel pays a été le premier à déclarer la guerre à l'Allemagne nazie en 1939 ?,La Pologne,Pologne,Poland
Quel était le nom de code de l'opération de débarquement en Normandie le 6 juin 1944 ?,Opération Overlord,Overlord,Op Overlord
Quelle était la principale cause du déclenchement de la guerre entre l'Allemagne et l'Union soviétique en 1941 ?,L'invasion allemande de l'Union soviétique,Invasion de l'URSS,Invasion de l'URSS par l'Allemagne
Quel accord a été signé entre Hitler et Staline en 1939 facilitant l'agression allemande en Europe de l'Est ?,Le Pacte germano-soviétique,Pacte germano-soviétique,Pacte germano soviétique
Quelle conférence de 1945 a établi les bases de l'ordre mondial d'après-guerre notamment avec la création de l'ONU ?,La Conférence de Yalta,Yalta,Conférence de Yalta
Quelle opération militaire a marqué la première utilisation opérationnelle de la bombe atomique en 1945 ?,L'opération Enola Gay,Enola Gay,Op Enola Gay
Quel pays a été envahi par l'Allemagne nazie le 9 avril 1940 marquant le début de l'invasion de la Scandinavie ?,La Norvège,Norvège,Norway
Quel était le nom de code de l'attaque surprise japonaise contre la base navale américaine de Pearl Harbor en 1941 ?,Opération Z,Operation Z,Z