En quelle année Hitler arrive-t'il au pouvoir ?,1933,1933,1933
Qui est chargé de diriger le mouvement résistant en France ?,Jean Moulin,Moulin,Moulin Jean
Quel nom l'alliance formée par l'Allemagne; l'Italie et le Japon porte-t-elle ?,L'Axe,Axe,l'axe
En France; qui signe l'armistice le 22 juin 1940 ?,Philippe Pétain,Pétain,petain
Où se déroule la bataille qui a lieu de juillet 1942 à février 1943 ?,Stalingrad,la bataille de Stalingrad,stalingrad
Depuis quelle ville Charles De Gaulle à t'il passé l'appel du 18 juin 1940 ?,Londres,london,londres
Les bombes atomiques sont lancées sur Hiroshima et Nagasaki en (mois et année)?,août 1945,aout 1945,aout 45
Comment se nomme la police politique du IIIème Reich ?,La Gestapo,Gestapo,gestapo
Qui dirigeait l'URSS pendant la Seconde Guerre mondiale ?,Joseph Staline,Staline,J Staline
Dans quelle région de France les Américains ont-ils débarqué le 6 juin 1944 ?,Normandie,la Normandie,en Normandie
Quel est le nom de la ligne de fortifications construite par les Français après la Première Guerre mondiale ?,La ligne Maginot,Maginot,ligne maginot